# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
1010          	((-1.326639e+43 -6.420367e+42 -4.213969e+42) (-5.966298e+18 -3.463424e+18 -1.014373e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.099303e+44 -2.182296e+44 -2.885146e+42) (8.776583e+19 -1.388701e+20 -1.698308e+18) (0.000000e+00 0.000000e+00 0.000000e+00))
1020          	((-4.360884e+43 -2.899249e+43 -1.342074e+43) (-1.104048e+19 -6.439769e+18 -1.780898e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.709851e+44 -7.233559e+44 1.291910e+43) (1.596094e+20 -2.435453e+20 -7.916668e+18) (0.000000e+00 0.000000e+00 0.000000e+00))
1030          	((-9.567093e+43 -9.024960e+43 -4.071169e+43) (-1.556222e+19 -1.231112e+19 -3.147709e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.497185e+45 -1.598707e+45 -5.632929e+43) (3.367793e+20 -3.607188e+20 -2.768371e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1040          	((-3.152974e+44 -2.121674e+44 -1.302426e+44) (-2.402787e+19 -1.932801e+19 -6.005931e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.631925e+45 -5.283993e+45 9.420503e+43) (5.799119e+20 -6.434028e+20 -2.322477e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1050          	((-8.949598e+44 -5.178224e+44 -2.144331e+44) (-4.768513e+19 -2.816478e+19 -6.916697e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.062155e+45 -1.485177e+46 -1.501209e+44) (8.709254e+20 -1.172110e+21 -4.925257e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1060          	((-3.165337e+45 -1.957405e+45 -1.150180e+45) (-8.563157e+19 -5.158570e+19 -1.486929e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.375494e+46 -5.237411e+46 1.089117e+45) (1.590267e+21 -2.238344e+21 -5.088068e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1070          	((-1.070398e+46 -6.717822e+45 -3.472635e+45) (-1.595926e+20 -8.919410e+19 -2.941616e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.158177e+47 -1.778149e+47 1.010228e+45) (2.829550e+21 -3.926070e+21 -4.094451e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1080          	((-2.742613e+46 -1.871292e+46 -8.275219e+45) (-2.643865e+20 -1.656110e+20 -4.963354e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.184232e+47 -4.610939e+47 7.724170e+45) (4.991932e+21 -6.681941e+21 -1.100637e+20) (0.000000e+00 0.000000e+00 0.000000e+00))
1090          	((-5.176388e+46 -3.069319e+46 -2.131721e+46) (-3.650094e+20 -2.452178e+20 -7.626953e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.449046e+47 -8.982256e+47 -3.338709e+46) (6.909854e+21 -9.603017e+21 -1.856388e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1100          	((-1.131436e+47 -5.799158e+46 -3.753450e+46) (-5.044686e+20 -3.217256e+20 -1.143459e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.047125e+48 -1.817800e+48 -2.372410e+47) (8.268116e+21 -1.170651e+22 -1.307416e+20) (0.000000e+00 0.000000e+00 0.000000e+00))
1110          	((-3.972973e+47 -3.275137e+47 -1.320507e+47) (-9.132137e+20 -6.712249e+20 -1.798487e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.330796e+48 -6.523386e+48 1.046210e+47) (1.756301e+22 -2.008092e+22 -7.515127e+20) (0.000000e+00 0.000000e+00 0.000000e+00))
1120          	((-1.126148e+48 -6.076914e+47 -3.900602e+47) (-1.532641e+21 -1.087329e+21 -2.929035e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.068061e+49 -1.904967e+49 6.134329e+47) (3.113248e+22 -4.272305e+22 -4.285862e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
1130          	((-2.343359e+48 -1.672758e+48 -1.085802e+48) (-2.312840e+21 -1.638811e+21 -5.562841e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.878363e+49 -3.951735e+49 1.268063e+48) (4.930957e+22 -6.416223e+22 -8.488710e+20) (0.000000e+00 0.000000e+00 0.000000e+00))
1140          	((-7.637069e+48 -2.965217e+48 -2.259753e+48) (-4.176318e+21 -2.301037e+21 -7.743205e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.234920e+49 -1.252287e+50 6.379829e+47) (6.029091e+22 -1.008597e+23 3.961892e+21) (0.000000e+00 0.000000e+00 0.000000e+00))
1150          	((-1.909856e+49 -8.771857e+48 6.160261e+47) (-7.585425e+21 -4.052766e+21 -6.572643e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.350706e+50 -3.006099e+50 1.690712e+49) (8.545261e+22 -1.811500e+23 2.469805e+21) (0.000000e+00 0.000000e+00 0.000000e+00))
1160          	((-6.751673e+49 -4.609225e+49 -2.518081e+49) (-1.386685e+22 -8.046841e+21 -1.485192e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.202190e+50 -1.111002e+51 9.126697e+49) (1.713606e+23 -3.943121e+23 2.121159e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
1170          	((-1.600920e+50 -1.463287e+50 -5.517126e+49) (-2.167574e+22 -1.684671e+22 -3.121417e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.401195e+51 -2.740534e+51 8.192170e+49) (4.458373e+23 -5.383532e+23 -1.888452e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
1180          	((-6.378577e+50 -4.571685e+50 -1.874650e+50) (-3.788027e+22 -2.865670e+22 -5.295504e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.492385e+51 -1.071858e+52 -3.578089e+50) (8.001291e+23 -1.017605e+24 -2.375969e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
1190          	((-1.665424e+51 -1.269465e+51 -7.675682e+50) (-6.799715e+22 -4.741238e+22 -1.279206e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.149183e+52 -2.897253e+52 2.243872e+51) (1.322217e+24 -1.897160e+24 1.736892e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
1200          	((-4.460200e+51 -3.423051e+51 -1.412820e+51) (-1.080411e+23 -7.619366e+22 -2.096977e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.895935e+52 -7.488493e+52 4.453865e+50) (2.050039e+24 -2.779875e+24 6.936583e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
1210          	((-1.458634e+52 -1.076537e+52 -4.737947e+51) (-1.772717e+23 -1.262125e+23 -3.090530e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.911035e+53 -2.503172e+53 -6.306198e+51) (4.054677e+24 -4.402842e+24 -1.549138e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1220          	((-4.385712e+52 -2.923971e+52 -1.223546e+52) (-3.192816e+23 -2.063964e+23 -5.607569e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.980125e+53 -7.407985e+53 9.295539e+51) (6.841867e+24 -8.848491e+24 -4.004743e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1230          	((-1.080641e+53 -7.955660e+52 -3.413867e+52) (-4.929444e+23 -3.628771e+23 -7.235478e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.378983e+54 -1.883384e+54 6.743080e+52) (1.193481e+25 -1.499156e+25 -5.326921e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1240          	((-2.515457e+53 -1.757935e+53 -1.046374e+53) (-7.635427e+23 -5.237558e+23 -1.573164e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.819492e+54 -4.168866e+54 4.302309e+53) (1.527451e+25 -2.034776e+25 -3.486101e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1250          	((-6.995403e+53 -3.491377e+53 -1.385508e+53) (-1.254061e+24 -8.063517e+23 -2.144791e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.666441e+54 -1.144682e+55 3.791859e+53) (1.794814e+25 -2.582651e+25 -9.429949e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1260          	((-3.277070e+54 -1.237499e+54 -9.190450e+53) (-2.347529e+24 -1.099439e+24 -3.406455e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.058758e+55 -5.485419e+55 1.152937e+54) (2.572949e+25 -6.921030e+25 3.694422e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1270          	((-9.935668e+54 -4.637827e+54 -3.436442e+54) (-4.734389e+24 -1.824830e+24 -8.177451e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.275203e+55 -1.699910e+56 -1.873474e+53) (5.967367e+25 -1.433998e+26 -3.382524e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
1280          	((-2.313509e+55 -1.165998e+55 -7.544682e+54) (-7.858215e+24 -3.631898e+24 -1.374850e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.977533e+56 -3.945404e+56 5.508470e+54) (1.076483e+26 -2.399066e+26 6.298644e+24) (0.000000e+00 0.000000e+00 0.000000e+00))
1290          	((-6.307558e+55 -3.788760e+55 -2.927815e+55) (-1.209091e+25 -7.068474e+24 -2.577368e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.465739e+56 -1.084099e+57 1.330017e+55) (2.043897e+26 -3.707660e+26 1.017171e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
1300          	((-1.541438e+56 -7.422006e+55 -7.080572e+55) (-1.801048e+25 -1.042080e+25 -4.738624e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.320253e+57 -2.647412e+57 -1.126076e+56) (3.377310e+26 -5.610272e+26 7.708120e+24) (0.000000e+00 0.000000e+00 0.000000e+00))
1310          	((-4.298075e+56 -2.778220e+56 -1.314173e+56) (-3.075859e+25 -1.773383e+25 -6.505345e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.687626e+57 -7.162928e+57 1.919784e+55) (5.989718e+26 -8.466325e+26 -1.517605e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
