# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
720           	((3.458240e+41 1.747263e+41 -6.157977e+40) (9.675819e+17 4.548857e+17 -9.001853e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.100315e+42 5.468095e+42 -8.546503e+40) (-1.996384e+19 2.572194e+19 -1.529871e+18) (0.000000e+00 0.000000e+00 0.000000e+00))
730           	((2.654133e+42 1.220981e+42 -3.516856e+41) (2.713606e+18 9.313956e+17 -1.542749e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.208754e+43 4.209098e+43 -1.876077e+42) (-5.027420e+19 7.268432e+19 -5.965232e+18) (0.000000e+00 0.000000e+00 0.000000e+00))
740           	((1.668167e+43 8.733160e+42 -3.917673e+42) (6.632778e+18 2.829276e+18 -5.269318e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572653e+44 2.697741e+44 -1.757142e+43) (-1.430670e+20 1.836565e+20 -1.794246e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
750           	((1.192752e+44 5.872825e+43 -2.936487e+43) (1.808445e+19 8.058321e+18 -2.025039e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.053010e+45 1.940242e+45 -1.094811e+44) (-3.562323e+20 5.020279e+20 -2.939500e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
760           	((7.158618e+44 3.290325e+44 -1.490595e+44) (4.458908e+19 1.935344e+19 -4.246874e+19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.878059e+45 1.176928e+46 -6.988922e+44) (-8.671182e+20 1.314563e+21 -7.622370e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
770           	((5.036908e+45 2.476258e+45 -1.112503e+45) (1.149428e+20 5.140039e+19 -1.041271e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.275502e+46 8.201453e+46 -1.982467e+45) (-2.122118e+21 3.406478e+21 -9.865773e+19) (0.000000e+00 0.000000e+00 0.000000e+00))
780           	((3.679862e+46 1.923632e+46 -8.023183e+45) (3.108828e+20 1.515729e+20 -3.210173e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.366571e+47 5.950568e+47 -1.823315e+46) (-5.936667e+21 8.766361e+21 -3.652268e+20) (0.000000e+00 0.000000e+00 0.000000e+00))
790           	((2.703990e+47 1.398926e+47 -6.969211e+46) (7.925909e+20 4.301398e+20 -9.500260e+20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.389491e+48 4.371219e+48 -9.478507e+46) (-1.624279e+22 2.255004e+22 -1.096887e+21) (0.000000e+00 0.000000e+00 0.000000e+00))
800           	((1.779543e+48 9.049371e+47 -3.315197e+47) (2.251342e+21 1.111190e+21 -2.282174e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.586154e+49 2.784077e+49 -1.625829e+48) (-3.942086e+22 5.704939e+22 -3.142621e+21) (0.000000e+00 0.000000e+00 0.000000e+00))
810           	((1.175969e+49 6.161022e+48 -2.803313e+48) (5.475685e+21 2.584495e+21 -5.592906e+21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.093048e+50 1.901637e+50 -5.312120e+48) (-1.120759e+23 1.509826e+23 -9.167501e+21) (0.000000e+00 0.000000e+00 0.000000e+00))
820           	((8.127247e+49 3.935387e+49 -1.658479e+49) (1.442581e+22 6.510574e+21 -1.399194e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.797910e+50 1.293689e+51 -3.513110e+49) (-2.621265e+23 3.918317e+23 -1.841683e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
830           	((4.627490e+50 3.043924e+50 -9.399573e+49) (3.400403e+22 1.828409e+22 -2.950886e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.317601e+51 7.507755e+51 -3.257254e+50) (-7.811978e+23 9.645450e+23 -7.036572e+22) (0.000000e+00 0.000000e+00 0.000000e+00))
